name,brand,price_pkr,url,source,ram_gb,storage_gb,processor,display_inches
HP Chromebook G8 32GB Storage 4GB RAM 10/10 conditon 11.6″ Display Playstore Chromebook 2029 Updated- Daraz Like New Lap,HP,48197,#,Daraz.pk,4,32,Intel i5,15.6
Dell Chromebook 3180 – 4GB RAM 16GB Storage 11.6″ HD Display 7Days checking warranty -Dell laptop,Dell,197093,#,Daraz.pk,4,16,Intel i5,15.6
"Acer Chromebook | Windows 10 Professional | 128GB Storage | Latest Technology Laptop | Full HD 11.6"" Display | 6+ Hours ",Acer,15500,#,Daraz.pk,8,128,Intel i5,11.6
"Samsung Chromebook 500C - Celeron processor - 2gb Ram - 16GB SSD - 11.6"" screen - Playstore supported",Samsung,174383,#,Daraz.pk,2,16,Intel Celeron,11.6
"Acer 11.6"" C730 Chromebook PC with Intel Celeron N2840 Processor, Windows Converted",Acer,191355,#,Daraz.pk,8,512,Intel Celeron,11.6
Microsoft Surface pro 5 Core i5 7th Generation 8GB 256GB ssd 4gb Intel iris Graphics 2 in 1 tablet laptop,Microsoft,41999,#,Daraz.pk,8,256,Intel i5,15.6
"Samsung Chromebook 4 - Celeron processor - 4gb Ram - 16GB SSD - 11.6"" screen - Playstore - Update 2029",Samsung,139250,#,Daraz.pk,4,16,Intel Celeron,11.6
USA Stock Hp G8 10/10 Condition Chromebook Latest 4GB RAM 32GB 2029 UPDATE With Type C charger 8hrs Battery Backup,HP,82066,#,Daraz.pk,4,512,Intel i5,15.6
Dell Laptop | Chromebook 3180 | 4GB RAM | 16GB Storage | Intel Celeron N3060 | Windows 10 | 11.6″ HD Display,Dell,58448,#,Daraz.pk,4,16,Intel Celeron,15.6
"Samsung Chromebook 500C | 4GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN",Samsung,159167,#,Daraz.pk,4,16,Intel i5,11.6
Lenovo ThinkPad T450 Core-i5-5th Gen 8 GB RAM 256 GB SSD 14″ Display,Lenovo,29000,#,Daraz.pk,8,256,Intel i5,15.6
"LENOVO CHROMEBOOK 100E - 4GB RAM DDR4 - 32GB SSD EMMC - 11.6"" SCREEN - PLAYSTORE SUPPORTED - AUE UPDATE 2027",Lenovo,87942,#,Daraz.pk,4,32,Intel i5,11.6
"Samsung Chromebook 500C | 2GB RAM DDR3L | 16GB SSD EMMC | PLAYSTORE SUPPORTED | 11.6"" SCREEN",Samsung,119876,#,Daraz.pk,2,16,Intel i5,11.6
DELL CHROMEBOOK LAPTOP 3120 P22T - 4GB/16GB - Longer Battery Life,Dell,165060,#,Daraz.pk,4,16,Intel i5,15.6
"Lenovo Chromebook N23 Laptop | Celeron | 4GB RAM | 16GB SSD | 11.6""",Lenovo,126466,#,Daraz.pk,4,16,Intel Celeron,11.6
Lenovo | ChromeBook 100E | 4GB RAM | 32GB Storage | 11.6″ Display | Webcam | Playstore Supported | 2027 Updateable | Chr,Lenovo,46042,#,Daraz.pk,4,32,Intel i5,15.6
"HP Intel Core i7-8th Generation | 16GB Ram , 512GB M2 SSD Hard | 2K Display | 3Hours+ Battery Backup | Back-Lit Keyboard",HP,98500,#,Daraz.pk,16,512,Intel i7,15.6
Microsoft surface pro 6 i5 8th generation 8gb 256gb 4 GB Intel HD Graphics 620 2 in 1 tablet laptop,Microsoft,51999,#,Daraz.pk,8,512,Intel i5,15.6
Dell Latitude 12 5285 Laptop - Core i5 7th Generation - 12.3 inch FHD Display - RAM 8GB LPDDR3 1866MHz - 256GB NVME SSD ,Dell,52500,#,Daraz.pk,8,512,Intel i5,12.3
